        dNpi/dy       Tch[MeV]     dVdy[fm^3]       Vc[fm^3]         gammaS
              3       0.173144            7.2            7.2       0.762394
        3.20365       0.172973        7.68877        7.68877       0.763213
        3.42113       0.172802        8.21072        8.21072       0.764084
        3.65337       0.172631         8.7681         8.7681       0.765011
        3.90138       0.172461        9.36332        9.36332       0.765997
        4.16623        0.17229        9.99894        9.99894       0.767045
        4.44905       0.172119        10.6777        10.6777       0.768159
        4.75107       0.171948        11.4026        11.4026       0.769342
         5.0736       0.171777        12.1766        12.1766         0.7706
        5.41802       0.171607        13.0032        13.0032       0.771935
        5.78582       0.171436         13.886         13.886       0.773352
        6.17858       0.171265        14.8286        14.8286       0.774856
        6.59801       0.171094        15.8352        15.8352       0.776451
        7.04592       0.170924        16.9102        16.9102       0.778142
        7.52423       0.170753        18.0581        18.0581       0.779933
        8.03501       0.170582         19.284         19.284        0.78183
        8.58046       0.170411        20.5931        20.5931       0.783838
        9.16294       0.170241        21.9911        21.9911       0.785961
        9.78496        0.17007        23.4839        23.4839       0.788206
        10.4492       0.169899        25.0781        25.0781       0.790577
        11.1586       0.169728        26.7805        26.7805        0.79308
         11.916       0.169557        28.5985        28.5985        0.79572
         12.725       0.169387        30.5399        30.5399       0.798501
        13.5888       0.169216        32.6131        32.6131        0.80143
        14.5113       0.169045         34.827         34.827        0.80451
        15.4964       0.168874        37.1912        37.1912       0.807747
        16.5483       0.168704         39.716         39.716       0.811145
        17.6717       0.168533        42.4121        42.4121       0.814707
        18.8713       0.168362        45.2912        45.2912       0.818436
        20.1524       0.168191        48.3658        48.3658       0.822336
        21.5204       0.168021        51.6491        51.6491       0.826408
        22.9813        0.16785        55.1552        55.1552       0.830654
        24.5414       0.167679        58.8994        58.8994       0.835073
        26.2074       0.167508        62.8978        62.8978       0.839665
        27.9865       0.167338        67.1676        67.1676       0.844427
        29.8863       0.167167        71.7272        71.7272       0.849357
        31.9152       0.166996        76.5964        76.5964       0.854449
        34.0817       0.166825        81.7961        81.7961       0.859697
        36.3953       0.166654        87.3488        87.3488       0.865092
         38.866       0.166484        93.2785        93.2785       0.870625
        41.5044       0.166313        99.6106        99.6106       0.876283
        44.3219       0.166142        106.373        106.373       0.882052
        47.3307       0.165971        113.594        113.594       0.887916
        50.5438       0.165801        121.305        121.305       0.893857
        53.9749        0.16563         129.54         129.54       0.899854
         57.639       0.165459        138.334        138.334       0.905884
        61.5518       0.165288        147.724        147.724       0.911923
        65.7302       0.165118        157.752        157.752       0.917945
        70.1922       0.164947        168.461        168.461       0.923922
        74.9572       0.164776        179.897        179.897       0.929824
        80.0457       0.164605         192.11         192.11       0.935623
        85.4795       0.164434        205.151        205.151       0.941287
        91.2823       0.164264        219.077        219.077       0.946787
        97.4789       0.164093        233.949        233.949       0.952092
        104.096       0.163922        249.831        249.831       0.957175
        111.163       0.163751        266.791        266.791       0.962009
        118.709       0.163581        284.902        284.902        0.96657
        126.768        0.16341        304.242        304.242       0.970838
        135.373       0.163239        324.895        324.895       0.974796
        144.563       0.163068        346.951        346.951       0.978431
        154.376       0.162898        370.504        370.504       0.981736
        164.856       0.162727        395.655        395.655       0.984709
        176.047       0.162556        422.514        422.514       0.987351
        187.998       0.162385        451.196        451.196        0.98967
        200.761       0.162215        481.825        481.825       0.991679
        214.389       0.162044        514.534        514.534       0.993396
        228.943       0.161873        549.463        549.463       0.994839
        244.485       0.161702        586.763        586.763       0.996034
        261.081       0.161531        626.595        626.595       0.997007
        278.805       0.161361        669.131        669.131       0.997783
        297.731        0.16119        714.555        714.555       0.998392
        317.943       0.161019        763.062        763.062       0.998858
        339.526       0.160848        814.862        814.862       0.999208
        362.575       0.160678        870.179        870.179       0.999464
        387.188       0.160507        929.251        929.251       0.999647
        413.472       0.160336        992.333        992.333       0.999774
         441.54       0.160165         1059.7         1059.7       0.999859
        471.514       0.159995        1131.63        1131.63       0.999915
        503.523       0.159824        1208.45        1208.45       0.999951
        537.704       0.159653        1290.49        1290.49       0.999972
        574.206       0.159482        1378.09        1378.09       0.999985
        613.186       0.159311        1471.65        1471.65       0.999992
        654.812       0.159141        1571.55        1571.55       0.999996
        699.263        0.15897        1678.23        1678.23       0.999998
        746.732       0.158799        1792.16        1792.16       0.999999
        797.424       0.158628        1913.82        1913.82              1
        851.557       0.158458        2043.74        2043.74              1
        909.365       0.158287        2182.47        2182.47              1
        971.096       0.158116        2330.63        2330.63              1
        1037.02       0.157945        2488.85        2488.85              1
        1107.42       0.157775         2657.8         2657.8              1
        1182.59       0.157604        2838.22        2838.22              1
        1262.87       0.157433         3030.9         3030.9              1
         1348.6       0.157262        3236.65        3236.65              1
        1440.15       0.157091        3456.36        3456.36              1
        1537.92       0.156921           3691           3691              1
        1642.32        0.15675        3941.56        3941.56              1
        1753.81       0.156579        4209.13        4209.13              1
        1872.86       0.156408        4494.87        4494.87              1
           2000       0.156238           4800           4800              1
