        dNpi/dy       Vc[fm^3]      K/P_toGCE     Xi/P_toGCE    Phi/P_toGCE     Pi/P_toGCE  Omega/P_toGCE     La/P_toGCE     H2/P_toGCE    He3/P_toGCE   H3La/P_toGCE
      0.0768496              1        22.0909        0.18701        205.372        64.2397      0.0294913       0.668261      0.0119371    6.89474e-05    7.81832e-05
       0.111546        1.39317         16.377       0.193417        141.882        46.2376      0.0314579       0.676165      0.0144743    0.000103452    0.000129159
       0.164161        1.94091        12.2675       0.202535        96.6707        33.2789      0.0343662       0.687098      0.0180844    0.000165596    0.000222626
       0.245806        2.70402        9.30586       0.215575        64.6841         23.932      0.0387406       0.702138       0.023256    0.000281413    0.000398702
       0.375664        3.76715        7.16289        0.23431        42.3076        17.1708      0.0454468        0.72262      0.0307247    0.000504652    0.000738877
       0.586958        5.24826        5.59984       0.261264        26.9438        12.2635      0.0559273       0.750007      0.0416074    0.000949166     0.00141143
       0.935539        7.31171        4.44247        0.29983        16.6984        8.69457       0.072567       0.785469      0.0575981     0.00186129     0.00276748
        1.50743        10.1864        3.56335       0.353935        10.1452        6.10878      0.0991467       0.828897      0.0812139     0.00377942     0.00553827
         2.4141        14.1914        2.87209       0.426619         6.1642        4.26601       0.141066       0.877377        0.11599     0.00786786      0.0112117
        3.77166         19.771        2.31297       0.516968        3.86462        2.99882       0.204431       0.924187       0.166339       0.016538      0.0226539
        5.70461        27.5443        1.86475        0.61697        2.58007        2.17317       0.292832       0.960883       0.236593      0.0343629      0.0448846
        8.40103        38.3738        1.52981       0.712928        1.87337        1.66777       0.402578       0.983037       0.328822      0.0688018      0.0854542
        12.1498        53.4611         1.3085       0.793093        1.49056        1.37742       0.521125       0.993381       0.439526       0.129123       0.152905
        17.3552        74.4802        1.18048        0.85362        1.28788        1.22018        0.63259       0.997539       0.557154       0.221044       0.251177
        24.5829        103.763        1.11167       0.896901        1.18017        1.13679       0.726156       0.999181       0.665632       0.338835       0.372383
        34.6323         144.56        1.07328       0.927227        1.11901        1.08995       0.799133       0.999827       0.754117       0.465387       0.498468
        48.6212        201.396         1.0498       0.948438        1.08112        1.06117       0.853897        1.00007       0.821291       0.583379       0.612986
        68.1035        280.578        1.03449       0.963342        1.05627        1.04237       0.894232        1.00014       0.870786       0.683495       0.708224
        95.2414        390.892        1.02417       0.973869        1.03946        1.02968        0.92365        1.00014       0.906825       0.763666       0.783372
        133.046        544.578        1.01706       0.981338        1.02787        1.02095       0.944985        1.00012       0.932918       0.825598       0.840809
        185.713        758.688         1.0121       0.986653        1.01978        1.01486       0.960406         1.0001       0.951751       0.872344       0.883834
        259.084        1056.98        1.00862       0.990446        1.01409        1.01058        0.97153        1.00008       0.965322       0.907092       0.915642
        361.303        1472.55        1.00615       0.993156        1.01005        1.00755        0.97954        1.00006       0.975084       0.932651       0.938945
        503.717         2051.5        1.00439       0.995082        1.00718         1.0054       0.985274        1.00004       0.982091       0.951307       0.955907
        702.116        2858.09        1.00313       0.996467        1.00513        1.00386       0.989408        1.00002       0.987135       0.964871       0.968217
        978.491        3981.79        1.00227       0.997501         1.0037        1.00276       0.992485        1.00003        0.99079       0.974716       0.977134
        1363.52         5547.3        1.00165       0.998245        1.00268        1.00198       0.994696        1.00004       0.993406       0.981802       0.983546
        1899.98        7728.32        1.00117       0.998699        1.00192        1.00141       0.996069        1.00002       0.995266       0.986918       0.988199
        2647.44        10766.8        1.00078       0.998969        1.00134        1.00101       0.996921        0.99999       0.996607       0.990669       0.991618
        3688.81          15000        1.00054       0.999234        1.00094        1.00073       0.997732       0.999977        0.99752       0.993239        0.99392
