        dNpi/dy       Vc[fm^3]     La/P_toGCE H3La/He3_toGCE
      0.0933614              3       0.707901        1.43431
       0.143668         4.1795       0.730389        1.47388
       0.225992        5.82274       0.760215        1.48937
       0.361927        8.11205       0.798283        1.48233
       0.583291        11.3014       0.843782        1.45461
       0.928518        15.7448       0.892628        1.40905
        1.43609        21.9351       0.937117        1.35042
        2.15189        30.5593       0.969388        1.28578
        3.14858        42.5742       0.987277        1.22299
        4.53368         59.313        0.99512        1.16804
        6.45653        82.6328       0.998223        1.12353
        9.12738        115.121       0.999452        1.08933
        12.8426        160.383        0.99993        1.06398
        18.0152        223.441         1.0001        1.04565
        25.2197         311.29        1.00014        1.03254
        35.2556        433.679        1.00014        1.02322
        49.2364        604.187        1.00012        1.01658
        68.7134        841.734        1.00009        1.01186
        95.8474        1172.68        1.00007        1.00849
        133.651        1633.73        1.00005        1.00608
        186.318        2276.06        1.00003        1.00436
        259.688        3170.93        1.00003        1.00312
        361.895        4417.64        1.00004        1.00223
        504.289        6154.51        1.00004        1.00161
         702.69        8574.26        1.00001        1.00118
        979.121        11945.4       0.999982        1.00087
        1364.24        16641.9       0.999979        1.00061
        1900.73          23185       0.999998         1.0004
         2648.1        32300.5        1.00001        1.00024
        3689.31          45000        1.00001        1.00015
