        dNpi/dy       Vc[fm^3]           La/P       H3La/He3
       0.245971              1       0.578282       0.336061
       0.342678        1.39317       0.578282       0.336061
       0.477408        1.94091       0.578282       0.336061
       0.665109        2.70402       0.578282       0.336061
       0.926608        3.76715       0.578282       0.336061
        1.29092        5.24826       0.578282       0.336061
        1.79847        7.31171       0.578282       0.336061
        2.50556        10.1864       0.578282       0.336061
        3.49067        14.1914       0.578282       0.336061
        4.86308         19.771       0.578282       0.336061
        6.77509        27.5443       0.578282       0.336061
        9.43882        38.3738       0.578282       0.336061
        13.1499        53.4611       0.578282       0.336061
        18.3199        74.4802       0.578282       0.336061
        25.5227        103.763       0.578282       0.336061
        35.5574         144.56       0.578282       0.336061
        49.5374        201.396       0.578282       0.336061
        69.0139        280.578       0.578282       0.336061
        96.1479        390.892       0.578282       0.336061
         133.95        544.578       0.578282       0.336061
        186.615        758.688       0.578282       0.336061
        259.986        1056.98       0.578282       0.336061
        362.203        1472.55       0.578282       0.336061
         504.61         2051.5       0.578282       0.336061
        703.006        2858.09       0.578282       0.336061
        979.404        3981.79       0.578282       0.336061
        1364.47         5547.3       0.578282       0.336061
        1900.94        7728.32       0.578282       0.336061
        2648.33        10766.8       0.578282       0.336061
        3689.56          15000       0.578282       0.336061
